Chrom	Start	End	GeneID	GeneName	
Scate-ma1	1919090	1934145	Scate00037	Glyoxalase domain-containing protein 4-like protein (Crotalus adamanteus OX%3D8729)	
Scate-ma1	1940218	1946592	Scate00038	Component of gems 4-like (Crotalus adamanteus OX%3D8729)	
Scate-ma1	1957610	1974558	Scate00039	Protein FAM57A (Crotalus adamanteus OX%3D8729)	
Scate-ma1	1999902	2067788	Scate00040	VPS53	
Scate-ma1	2107713	2111248	Scate00041	L345_17189	
Scate-ma1	2139534	2142936	Scate00042	doc2b	
Scate-ma1	2271798	2275331	Scate00043	LOC103282524	
Scate-ma1	2384420	2396977	Scate00044	Rad51c	
Scate-ma1	2527296	2538415	Scate00045	PPM1E	
Scate-ma1	2540310	2542605	Scate00046	PPM1E	
Scate-ma1	2551969	2623504	Scate00047	TRIM37	
Scate-ma1	2685705	2694362	Scate00048	smg8	
Scate-ma1	2724640	2742506	Scate00049	Glycerophosphodiester phosphodiesterase domain-containing protein 1 (Crotalus horridus OX%3D35024)	
Scate-ma1	2907036	2945576	Scate00050	Amyloid protein-binding protein 2 (Crotalus adamanteus OX%3D8729)	
Scate-ma1	2987336	3018929	Scate00051	Protein phosphatase 1D (Crotalus horridus OX%3D35024)	
Scate-ma1	3526699	3532492	Scate00052	L345_17115	
Scate-ma1	3694743	3696043	Scate00053	TBX4	
Scate-ma1	3698948	3699481	Scate00054	TBX4	
Scate-ma1	3914027	3938291	Scate00055	INTS2	
Scate-ma1	3945502	4021511	Scate00056	MED13	
Scate-ma1	4106380	4108953	Scate00057	MED13	
Scate-ma1	4174995	4204365	Scate00058	RING finger and transmembrane domain-containing protein 1-like protein (Crotalus adamanteus OX%3D8729)	
Scate-ma1	4212055	4258534	Scate00059	Ribosomal protein S6 kinase (Crotalus adamanteus OX%3D8729)	
Scate-ma1	4262074	4278078	Scate00060	TUBD1	
Scate-ma1	4446753	4450832	Scate00061	Peptidyl-tRNA hydrolase 2%2C mitochondrial-like protein (Crotalus horridus OX%3D35024)	
Scate-ma1	4462464	4533822	Scate00062	Clathrin heavy chain (Crotalus adamanteus OX%3D8729)	
Scate-ma1	4539435	4544425	Scate00063	Clathrin heavy chain (Crotalus adamanteus OX%3D8729)	
Scate-ma1	4593952	4612923	Scate00064	DHX40	
Scate-ma1	4633051	4634530	Scate00065	L345_13475	
Scate-ma1	4784938	4840914	Scate00066	Ubiquitin carboxyl-terminal hydrolase 32 isoform X1 (Crotalus adamanteus OX%3D8729)	
Scate-ma1	4909996	4910964	Scate00067	L345_16567	
Scate-ma1	4924798	4929927	Scate00068	znhit3	
Scate-ma1	4942728	4985899	Scate00069	myo19	
Scate-ma1	4994067	4995202	Scate00070	Phosphatidylinositol-glycan biosynthesis class W protein (Crotalus horridus OX%3D35024)	
Scate-ma1	5007496	5041263	Scate00071	Gametogenetin-binding protein 2 (Crotalus adamanteus OX%3D8729)	
Scate-ma1	5082052	5098339	Scate00072	DHRS11	
Scate-ma1	5106584	5120944	Scate00073	MRM1	
Scate-ma1	5577525	5580651	Scate00074	LHX1	
Scate-ma1	5721965	5736080	Scate00075	ACAC	
Scate-ma1	5750049	5780044	Scate00076	Uncharacterized protein (Anolis carolinensis OX%3D28377)	
Scate-ma1	5798659	5806345	Scate00077	Uncharacterized protein (Anolis carolinensis OX%3D28377)	
Scate-ma1	5900013	5909655	Scate00078	L345_16064	
Scate-ma1	5913548	5957586	Scate00079	ACACB	
Scate-ma1	6013156	6022216	Scate00080	RRP15	
Scate-ma1	6023768	6078206	Scate00081	Transcriptional adapter (Crotalus adamanteus OX%3D8729)	
Scate-ma1	6133747	6134343	Scate00082	DUSP14	
Scate-ma1	6204336	6219187	Scate00083	SYNRG	
Scate-ma1	6240231	6261941	Scate00084	DDX52	
Scate-ma1	6364175	6370281	Scate00085	Hnf1b	
Scate-ma1	6471117	6479729	Scate00086	Heatr6	
Scate-ma1	6483072	6509464	Scate00087	Heatr6	
Scate-ma1	6597450	6603106	Scate00088	srsf1	
Scate-ma1	6673245	6692766	Scate00089	Vascular endothelial zinc finger 1 (Crotalus horridus OX%3D35024)	
Scate-ma1	6752756	6775020	Scate00090	CUE domain-containing protein 1-like protein (Crotalus adamanteus OX%3D8729)	
Scate-ma1	6796302	6804252	Scate00091	Mitochondrial ribosomal protein S23 (Crotalus horridus OX%3D35024)	
Scate-ma1	7594634	7627507	Scate00092	A-kinase anchor protein 1%2C mitochondrial (Crotalus horridus OX%3D35024)	
Scate-ma1	7688414	7742886	Scate00093	NF1	
Scate-ma1	7753829	7754599	Scate00094	Evi2a	
Scate-ma1	7769457	7770305	Scate00095	EVI2B	
Scate-ma1	7787461	7788955	Scate00096	OMG	
Scate-ma1	7800851	7801840	Scate00097	Sgs3	
Scate-ma1	7818330	7851297	Scate00098	Nf1	
Scate-ma1	7853167	7887773	Scate00099	Nf1	
Scate-ma1	7935219	7955797	Scate00100	WD repeat and SOCS box-containing protein 1 (Crotalus adamanteus OX%3D8729)	
Scate-ma1	8088452	8095797	Scate00101	KSR1	
Scate-ma1	8113225	8117008	Scate00102	LOC103282177	
Scate-ma1	8137593	8169625	Scate00103	KSR1	
Scate-ma1	8184237	8205483	Scate00104	LGALS9C	
Scate-ma1	8210235	8249481	Scate00105	NOS2	
Scate-ma1	8452925	8466938	Scate00106	NLK	
Scate-ma1	8472961	8474016	Scate00107	NLK	
Scate-ma1	8483006	8487965	Scate00108	Transmembrane protein 97 (Crotalus horridus OX%3D35024)	
Scate-ma1	8495382	8499718	Scate00109	Transmembrane protein 97 (Crotalus adamanteus OX%3D8729)	
Scate-ma1	8504139	8513511	Scate00110	Intraflagellar transport protein 20 (Crotalus horridus OX%3D35024)	
Scate-ma1	8513603	8542220	Scate00111	BTB/POZ domain-containing adapter for CUL3-mediated RhoA degradation protein 2 (Crotalus adamanteus OX%3D8729)	
Scate-ma1	8639307	8675440	Scate00112	Sgsm1	
Scate-ma1	8680503	8693026	Scate00113	SGSM2	
Scate-ma1	8700287	8703788	Scate00114	MNT	
Scate-ma1	8878208	8914957	Scate00115	PAFAH1B1	
Scate-ma1	8926954	8977526	Scate00116	CLUH	
Scate-ma1	9038087	9041563	Scate00117	CCDC92	
Scate-ma1	9358270	9373571	Scate00118	RAP1GAP2	
Scate-ma1	9448300	9456357	Scate00119	Dem1	
Scate-ma1	9886790	9896808	Scate00120	WSCD1	
Scate-ma1	11161418	11190542	Scate00121	AUTS2	
Scate-ma1	11201177	11205962	Scate00122	AUTS2	
Scate-ma1	12602442	12614070	Scate00123	GATS-like protein 1 (Crotalus horridus OX%3D35024)	
Scate-ma1	12624186	12643575	Scate00124	Uncharacterized protein (Anolis carolinensis OX%3D28377)	
Scate-ma1	12653769	12670469	Scate00125	Ncf1	
Scate-ma1	12680579	12744774	Scate00126	GTF2I	
Scate-ma1	12766398	12837718	Scate00127	GTF2I repeat domain containing 1 isoform 1 (Crotalus horridus OX%3D35024)	
Scate-ma1	12930306	12959079	Scate00128	CLIP2	
Scate-ma1	13019098	13035723	Scate00129	RFC2	
Scate-ma1	13036252	13055593	Scate00130	unknown function	
Scate-ma1	13060195	13069251	Scate00131	Eif4h	
Scate-ma1	13090745	13136134	Scate00132	MYBBP1A	
Scate-ma1	13197719	13228111	Scate00133	SPNS2	
Scate-ma1	13381723	13402498	Scate00134	Spns3	
Scate-ma1	13503818	13504703	Scate00135	ube2g1	
Scate-ma1	13558694	13609623	Scate00136	Ankyrin repeat and FYVE domain-containing protein 1 (Crotalus adamanteus OX%3D8729)	
Scate-ma1	13615899	13622776	Scate00137	Cyb5d2	
Scate-ma1	13626453	13632360	Scate00138	Methyltransferase Mb3374 (Crotalus horridus OX%3D35024)	
Scate-ma1	13639122	13640349	Scate00139	Methyltransferase Mb3374 (Crotalus horridus OX%3D35024)	
Scate-ma1	13774229	13779209	Scate00140	DNA-directed RNA polymerase II subunit RPB11-a (Crotalus adamanteus OX%3D8729)	
Scate-ma1	13780810	13803975	Scate00141	Leucine-rich repeat and WD repeat-containing protein 1 isoform X1 (Crotalus adamanteus OX%3D8729)	
Scate-ma1	13843774	13846375	Scate00142	ORAI3	
Scate-ma1	13854936	13863506	Scate00143	SH2B adaptor protein 2 (Crotalus adamanteus OX%3D8729)	
Scate-ma1	13874352	13912934	Scate00144	SH2B2	
Scate-ma1	13974960	13994270	Scate00145	Protein CASP isoform b (Crotalus adamanteus OX%3D8729)	
Scate-ma1	14525788	14531385	Scate00146	MYL10	
Scate-ma1	14825366	14829253	Scate00147	Rabl5	
Scate-ma1	14868495	14903674	Scate00148	Rab GTPase-binding effector protein 1-like protein (Crotalus horridus OX%3D35024)	
Scate-ma1	14906434	14921929	Scate00149	Nuclear pore complex protein Nup88 isoform X2 (Crotalus adamanteus OX%3D8729)	
Scate-ma1	14926102	14934553	Scate00150	RPAIN	
Scate-ma1	14936731	14937345	Scate00151	MIS12	
Scate-ma1	14940804	14950331	Scate00152	DERL2	
Scate-ma1	14952624	14970226	Scate00153	DHX33	
Scate-ma1	14974282	14980878	Scate00154	Complement component 1 Q subcomponent-binding protein%2C mitochondrial-like (Crotalus adamanteus OX%3D8729)	
Scate-ma1	15027390	15067067	Scate00155	Camkk1	
Scate-ma1	15136879	15148155	Scate00156	P2RX1	
Scate-ma1	15182362	15202511	Scate00157	Mgat4b	
Scate-ma1	15242370	15265703	Scate00158	Calcium-transporting ATPase (Crotalus horridus OX%3D35024)	
Scate-ma1	15466513	15481007	Scate00159	ZZEF1	
Scate-ma1	15481977	15542412	Scate00160	ZZEF1	
Scate-ma1	15603113	15607161	Scate00161	Upk3b	
Scate-ma1	15675672	15699261	Scate00162	ssc4d	
Scate-ma1	15817781	15826732	Scate00163	HSPB1	
Scate-ma1	15938959	15943304	Scate00164	klhl12	
Scate-ma1	16096524	16114476	Scate00165	Mdh2	
Scate-ma1	16116647	16127438	Scate00166	STYXL1	
Scate-ma1	16130149	16155194	Scate00167	Transmembrane protein 120A (Crotalus adamanteus OX%3D8729)	
Scate-ma1	16157124	16187452	Scate00168	POR	
Scate-ma1	16260768	16261897	Scate00169	rhbdd2	
Scate-ma1	16345840	16357327	Scate00170	MMP28	
Scate-ma1	16377334	16393555	Scate00171	GAS2L2	
Scate-ma1	16403144	16405244	Scate00172	RASL10B	
Scate-ma1	16458205	16521379	Scate00173	AP2B1	
Scate-ma1	16534527	16537805	Scate00174	unknown function	
Scate-ma1	16547714	16567257	Scate00175	UNC45A	
Scate-ma1	16581966	16598892	Scate00176	RAD51D	
Scate-ma1	16638047	16656913	Scate00177	E3 ubiquitin-protein ligase rififylin isoform X3 (Crotalus adamanteus OX%3D8729)	
Scate-ma1	16659290	16691162	Scate00178	DNA ligase (Crotalus adamanteus OX%3D8729)	
Scate-ma1	17431152	17455740	Scate00179	TMEM132E	
Scate-ma1	17800107	17825313	Scate00180	RABGEF1	
Scate-ma1	17853451	17882159	Scate00181	Tpst1	
Scate-ma1	17893159	17917979	Scate00182	CRCP	
Scate-ma1	17934089	17949469	Scate00183	ASL	
Scate-ma1	17951852	17976918	Scate00184	GUSB	
Scate-ma1	17984008	17999738	Scate00185	Vitamin K epoxide reductase complex subunit 1-like protein 1 (Crotalus adamanteus OX%3D8729)	
Scate-ma1	18012484	18013328	Scate00186	Coiled-coil-helix-coiled-coil-helix domain-containing protein 2%2C mitochondrial-like protein (Crotalus adamanteus OX%3D8729)	
Scate-ma1	18021911	18040031	Scate00187	PHKG1	
Scate-ma1	18042961	18052075	Scate00188	Sulfatase modifying factor 2 (Crotalus adamanteus OX%3D8729)	
Scate-ma1	18054803	18065483	Scate00189	T-complex protein 1 subunit zeta (Crotalus adamanteus OX%3D8729)	
Scate-ma1	18087276	18097137	Scate00190	Phosphoserine phosphatase (Crotalus horridus OX%3D35024)	
Scate-ma1	18111894	18125513	Scate00191	Glioblastoma amplified sequence (Crotalus adamanteus OX%3D8729)	
Scate-ma1	18127085	18132094	Scate00192	28S ribosomal protein S17%2C mitochondrial (Crotalus horridus OX%3D35024)	
Scate-ma1	18140978	18168137	Scate00193	NF2	
Scate-ma1	18170119	18177440	Scate00194	Ribosome maturation protein SBDS (Crotalus adamanteus OX%3D8729)	
Scate-ma1	18178259	18201645	Scate00195	tRNA wybutosine-synthesizing 1-like protein (Crotalus adamanteus OX%3D8729)	
Scate-ma1	18206347	18212597	Scate00196	L345_12335	
Scate-ma1	18250174	18270956	Scate00197	MPO	
Scate-ma1	18318942	18335165	Scate00198	mlt-7	
Scate-ma1	18336434	18344327	Scate00199	mlt-7	
Scate-ma1	18381207	18441012	Scate00200	RIMBP2	
Scate-ma1	18441472	18457679	Scate00201	RIMBP2	
Scate-ma1	18471601	18480630	Scate00202	Transcription elongation factor SPT4 (Crotalus horridus OX%3D35024)	
Scate-ma1	18489481	18518294	Scate00203	RNF43	
Scate-ma1	18529354	18532867	Scate00204	RNF43	
Scate-ma1	18537155	18551622	Scate00205	Hsf5	
Scate-ma1	18558041	18589929	Scate00206	Myotubularin-related protein 4-like (Crotalus adamanteus OX%3D8729)	
Scate-ma1	18613709	18629552	Scate00207	LOC100554079	
Scate-ma1	18633733	18641432	Scate00208	abhd11	
Scate-ma1	18680608	18682332	Scate00209	CLDN4	
Scate-ma1	18696710	18704350	Scate00210	WBSCR27	
Scate-ma1	19018515	19039161	Scate00211	LIMK1	
Scate-ma1	19061614	19075709	Scate00212	4-Sep	
Scate-ma1	19125876	19140657	Scate00213	VPS37D	
Scate-ma1	19157033	19157746	Scate00214	Dnajc30	
Scate-ma1	19162707	19176084	Scate00215	MLXIPL	
Scate-ma1	19186684	19195453	Scate00216	MLXIPL	
Scate-ma1	19274031	19287345	Scate00217	STX1A	
Scate-ma1	19291102	19302568	Scate00218	Putative methyltransferase WBSCR22-like protein (Crotalus horridus OX%3D35024)	
Scate-ma1	19302775	19310407	Scate00219	Tbl2	
Scate-ma1	19313539	19323998	Scate00220	B-cell CLL/lymphoma 7 protein family member B-like (Crotalus adamanteus OX%3D8729)	
Scate-ma1	19327169	19385403	Scate00221	MKS1	
Scate-ma1	19388382	19422732	Scate00222	FSIP2	
Scate-ma1	19476424	19508220	Scate00223	BAZ1B	
Scate-ma1	19571699	19582588	Scate00224	FKBP6	
Scate-ma1	19585190	19596142	Scate00225	Trim50	
Scate-ma1	19603480	19620453	Scate00226	NSUN5	
Scate-ma1	19618275	19623549	Scate00227	POM121	
Scate-ma1	19623882	19634481	Scate00228	POM121	
Scate-ma1	19642838	19679623	Scate00229	Hip1	
Scate-ma1	19798267	19800361	Scate00230	CCL5	
Scate-ma1	19814291	19845005	Scate00231	PITPNM3	
Scate-ma1	19949724	19963901	Scate00232	L345_06617	
Scate-ma1	19965403	19968596	Scate00233	Thioredoxin domain-containing protein 17 (Crotalus adamanteus OX%3D8729)	
Scate-ma1	19969624	19971369	Scate00234	MED31	
Scate-ma1	20001374	20030584	Scate00235	SLC13A5	
Scate-ma1	20057502	20074655	Scate00236	LOC100563620	
Scate-ma1	20078834	20099044	Scate00237	SMTNL2	
Scate-ma1	20132933	20149365	Scate00238	unknown function	
Scate-ma1	20163919	20173558	Scate00239	UPF0458 protein C7orf42 (Crotalus horridus OX%3D35024)	
Scate-ma1	20278339	20298827	Scate00240	ST6GAL1	
Scate-ma1	20304313	20318633	Scate00241	GPN-loop GTPase (Crotalus horridus OX%3D35024)	
Scate-ma1	20324453	20329518	Scate00242	LOC100560294	
Scate-ma1	20342507	20355750	Scate00243	Fndc5	
Scate-ma1	20361428	20363977	Scate00244	LOC100558834	
Scate-ma1	20374211	20376687	Scate00245	LOC103282640	
Scate-ma1	20384471	20400032	Scate00246	IFT172	
Scate-ma1	20405703	20427684	Scate00247	Nuclear receptor-binding protein (Crotalus adamanteus OX%3D8729)	
Scate-ma1	20429719	20436163	Scate00248	Protein phosphatase 1G-like (Crotalus adamanteus OX%3D8729)	
Scate-ma1	20438481	20446647	Scate00249	RBR-type E3 ubiquitin transferase (Crotalus horridus OX%3D35024)	
Scate-ma1	20458606	20461860	Scate00250	Uncharacterized protein (Anolis carolinensis OX%3D28377)	
Scate-ma1	20462032	20467692	Scate00251	Sorting nexin-17 (Crotalus adamanteus OX%3D8729)	
Scate-ma1	20468723	20478092	Scate00252	eif2b4	
Scate-ma1	20485886	20496003	Scate00253	GTF3C2	
Scate-ma1	20501272	20519687	Scate00254	slc30a3	
Scate-ma1	20530696	20541815	Scate00255	LOC100562259	
Scate-ma1	20545006	20554271	Scate00256	Cysteine string protein-like protein (Crotalus horridus OX%3D35024)	
Scate-ma1	20558128	20572379	Scate00257	TRIM55	
Scate-ma1	20578455	20590088	Scate00258	Protein Mpv17 (Crotalus horridus OX%3D35024)	
Scate-ma1	20596173	20625950	Scate00259	CAD protein-like (Crotalus horridus OX%3D35024)	
Scate-ma1	20628652	20631562	Scate00260	CAD protein-like (Crotalus horridus OX%3D35024)	
Scate-ma1	20635369	20641310	Scate00261	Apoptosis-related protein 3-like (Crotalus adamanteus OX%3D8729)	
Scate-ma1	20646986	20671552	Scate00262	Sodium-dependent multivitamin transporter-like protein (Crotalus horridus OX%3D35024)	
Scate-ma1	20674983	20687717	Scate00263	Prolactin regulatory element-binding protein (Crotalus horridus OX%3D35024)	
Scate-ma1	20682478	20691523	Scate00264	ABHD3	
Scate-ma1	20708243	20723643	Scate00265	KHK	
Scate-ma1	20748769	20782410	Scate00266	PRKG2	
Scate-ma1	20794718	20808476	Scate00267	EMILIN1	
Scate-ma1	20838075	20861526	Scate00268	AGBL5	
Scate-ma1	20865210	20887716	Scate00269	Transmembrane protein 214 (Crotalus horridus OX%3D35024)	
Scate-ma1	20891482	20915986	Scate00270	Microtubule-associated protein RP/EB family member 3-like (Crotalus horridus OX%3D35024)	
Scate-ma1	20961013	20991837	Scate00271	DPYSL5	
Scate-ma1	21020411	21040188	Scate00272	DNA (Cytosine-5)-methyltransferase 3A (Crotalus horridus OX%3D35024)	
Scate-ma1	21181151	21182618	Scate00273	DTNA	
Scate-ma1	21213502	21230428	Scate00274	DTNB	
Scate-ma1	21296778	21304103	Scate00275	ASXL2	
Scate-ma1	21467601	21480579	Scate00276	Ras-related protein Rab-10-like protein (Crotalus adamanteus OX%3D8729)	
Scate-ma1	21519329	21541019	Scate00277	Trifunctional enzyme subunit alpha%2C mitochondrial (Crotalus adamanteus OX%3D8729)	
Scate-ma1	21550446	21571504	Scate00278	Trifunctional enzyme subunit beta%2C mitochondrial (Crotalus horridus OX%3D35024)	
Scate-ma1	21588580	21620220	Scate00279	Ethanolaminephosphotransferase 1 (Crotalus horridus OX%3D35024)	
Scate-ma1	21648540	21659604	Scate00280	PBK	
Scate-ma1	21661427	21674591	Scate00281	esco2	
Scate-ma1	21693916	21716821	Scate00282	Coiled-coil domain-containing protein 25 (Crotalus adamanteus OX%3D8729)	
Scate-ma1	21747210	21761955	Scate00283	SCARA3	
Scate-ma1	21797860	21809373	Scate00284	Clusterin (Crotalus horridus OX%3D35024)	
Scate-ma1	21817991	21829122	Scate00285	L345_10023	
Scate-ma1	21852998	21867926	Scate00286	Stmn4	
Scate-ma1	21914564	21918412	Scate00287	POMC	
Scate-ma1	21924630	21953132	Scate00288	efr3b	
Scate-ma1	21979863	21982476	Scate00289	Uncharacterized protein (Anolis carolinensis OX%3D28377)	
Scate-ma1	22115634	22126054	Scate00290	SCARA5	
Scate-ma1	22180645	22203170	Scate00291	CCDC164	
Scate-ma1	22208128	22221351	Scate00292	Otof	
Scate-ma1	22239576	22269574	Scate00293	Otof	
Scate-ma1	22385515	22392301	Scate00294	L345_00483	
Scate-ma1	22408138	22410291	Scate00295	CIB4	
Scate-ma1	22745522	22789181	Scate00296	Protein-tyrosine kinase 2-beta (Crotalus adamanteus OX%3D8729)	
Scate-ma1	22795952	22809022	Scate00297	CHRNA2	
Scate-ma1	22892563	22909258	Scate00298	EPHX2	
Scate-ma1	22923920	22951589	Scate00299	GULO	
Scate-ma1	22956420	22958064	Scate00300	FBXO16	
Scate-ma1	22964904	22972478	Scate00301	FBXO16	
Scate-ma1	22996361	23006750	Scate00302	Fzd3	
Scate-ma1	23274642	23299541	Scate00303	znf395	
Scate-ma1	23718157	23779291	Scate00304	NCOA1	
Scate-ma1	23784127	23784586	Scate00305	PTRHD1	
Scate-ma1	23787791	23797005	Scate00306	CENPO	
Scate-ma1	23799987	23852282	Scate00307	ADCY3	
Scate-ma1	23883259	23894283	Scate00308	DnaJ-like subfamily C member 27-like (Crotalus horridus OX%3D35024)	
Scate-ma1	24078467	24129105	Scate00309	Integrator complex subunit 9 (Crotalus adamanteus OX%3D8729)	
Scate-ma1	24238953	24253692	Scate00310	HMBOX1	
Scate-ma1	24256040	24265622	Scate00311	HMBOX1	
Scate-ma1	24283297	24367134	Scate00312	Kinesin-like protein KIF13B (Crotalus adamanteus OX%3D8729)	
Scate-ma1	24702824	24704374	Scate00313	Uncharacterized protein (Anolis carolinensis OX%3D28377)	
Scate-ma1	24747713	24757379	Scate00314	rp1l1	
Scate-ma1	24801515	24810288	Scate00315	Uncharacterized protein (Anolis carolinensis OX%3D28377)	
Scate-ma1	24819887	24820702	Scate00316	sox18	
Scate-ma1	24826720	24827091	Scate00317	Sox17	
Scate-ma1	24932640	24937387	Scate00318	XKR6	
Scate-ma1	25251130	25280907	Scate00319	MTMR9	
Scate-ma1	25313311	25322934	Scate00320	L-threonine 3-dehydrogenase%2C mitochondrial-like protein (Crotalus adamanteus OX%3D8729)	
Scate-ma1	25390833	25397813	Scate00321	FAM167A	
Scate-ma1	25596677	25601148	Scate00322	Endonuclease VIII-like 2 (Crotalus adamanteus OX%3D8729)	
Scate-ma1	25608157	25620902	Scate00323	Squalene synthase-like protein (Crotalus adamanteus OX%3D8729)	
Scate-ma1	25624983	25645669	Scate00324	Cathepsin B-like protein (Crotalus horridus OX%3D35024)	
Scate-ma1	25684738	25689541	Scate00325	unknown function	
Scate-ma1	26419633	26421791	Scate00326	Beta defensin-like protein (Sistrurus miliarius OX%3D8758)	
Scate-ma1	26570893	26575233	Scate00327	XPO1	
Scate-ma1	26597894	26625128	Scate00328	Exportin-1-like protein (Crotalus horridus OX%3D35024)	
Scate-ma1	26807017	26840170	Scate00329	KIAA1841	
Scate-ma1	26846392	26858678	Scate00330	Peroxisomal membrane protein PEX13-like protein (Crotalus adamanteus OX%3D8729)	
Scate-ma1	26861849	26883175	Scate00331	Putative tRNA pseudouridine synthase Pus10-like (Crotalus adamanteus OX%3D8729)	
Scate-ma1	26894276	26901828	Scate00332	REL	
Scate-ma1	26925513	26929762	Scate00333	REL	
Scate-ma1	26994272	27009817	Scate00334	PAPOLA	
Scate-ma1	27924075	27924398	Scate00335	L345_01924	
Scate-ma1	29026205	29034842	Scate00336	FANCL	
Scate-ma1	30101725	30115308	Scate00337	EGF-containing fibulin-like extracellular matrix protein 1 (Crotalus adamanteus OX%3D8729)	
Scate-ma1	30145811	30176527	Scate00338	Polyribonucleotide nucleotidyltransferase 1%2C mitochondrial-like protein (Crotalus adamanteus OX%3D8729)	
Scate-ma1	30180431	30229248	Scate00339	Smek2	
Scate-ma1	30229585	30252751	Scate00340	Coiled-coil domain-containing protein 104-like protein (Crotalus horridus OX%3D35024)	
Scate-ma1	30298398	30373771	Scate00341	CCDC88A	
Scate-ma1	30389496	30392023	Scate00342	PRORSD1	
Scate-ma1	30391989	30424268	Scate00343	Translation initiation factor IF-2%2C mitochondrial-like protein (Crotalus horridus OX%3D35024)	
Scate-ma1	30424583	30445212	Scate00344	CLHC1	
Scate-ma1	30492062	30492670	Scate00345	Rtn4	
Scate-ma1	30531859	30543331	Scate00346	RTN4	
Scate-ma1	30547866	30567529	Scate00347	EML6	
Scate-ma1	30618908	30638085	Scate00348	EML6	
Scate-ma1	30641756	30660667	Scate00349	EML6	
Scate-ma1	30696202	30759390	Scate00350	SPTBN1	
Scate-ma1	30935326	30942879	Scate00351	L345_02165	
Scate-ma1	31025347	31045189	Scate00352	psme4	
Scate-ma1	31051566	31060404	Scate00353	psme4	
Scate-ma1	31061121	31108548	Scate00354	PSME4	
Scate-ma1	31110609	31112586	Scate00355	psme4	
Scate-ma1	31141876	31157685	Scate00356	Endoplasmic reticulum lectin 1 (Crotalus horridus OX%3D35024)	
Scate-ma1	31206612	31227741	Scate00357	ASB3	
Scate-ma1	32813293	32817610	Scate00358	NRXN1	
Scate-ma1	32953469	32970053	Scate00359	NRXN1	
Scate-ma1	33347955	33349871	Scate00360	NRXN1	
Scate-ma1	33988393	34010819	Scate00361	FSHR	
Scate-ma1	34161421	34166143	Scate00362	GTF2A1L	
Scate-ma1	34197273	34200467	Scate00363	STON1	
Scate-ma1	34217896	34243349	Scate00364	KLRAQ motif-containing protein 1-like (Crotalus adamanteus OX%3D8729)	
Scate-ma1	34429003	34460019	Scate00365	F-box only protein 11 (Crotalus horridus OX%3D35024)	
Scate-ma1	34460071	34479001	Scate00366	MSH6	
Scate-ma1	34697917	34698804	Scate00367	Kcnk12	
Scate-ma1	34753567	34786619	Scate00368	MSH2	
Scate-ma1	34827908	34836055	Scate00369	Epithelial cell adhesion molecule-like (Crotalus adamanteus OX%3D8729)	
